"TD [um]","TH [um]","Freq [GHz]","1- mag( (S(FloquetPort1:1,FloquetPort1:1)) ) * mag( (S(FloquetPort1:1,FloquetPort1:1)) ) []"
160,475,143.5,0.854231363985843
160,475,144,0.85211734129334
160,475,144.5,0.850003537360161
160,475,145,0.847890525734285
160,475,145.5,0.845778871772221
160,475,146,0.843669132532975
160,475,146.5,0.841561856682775
160,475,147,0.839457584410342
160,475,147.5,0.837356847352455
160,475,148,0.835260168529568
160,475,148.5,0.833168062291239
160,475,149,0.831081034271096
160,475,149.5,0.828999581351091
160,475,150,0.826924191634772
160,475,150.5,0.824855344429299
160,475,151,0.822793510235938
160,475,151.5,0.820739150748747
160,475,152,0.818692718861187
160,475,152.5,0.816654658680372
160,475,153,0.814625405548677
160,475,153.5,0.812605386072426
160,475,154,0.810595018157382
160,475,154.5,0.808594711050755
160,475,155,0.80660486538944
160,475,155.5,0.804625873254234
160,475,156,0.802658118229723
160,475,156.5,0.800701975469592
160,475,157,0.798757811767064
160,475,157.5,0.796825985630221
160,475,158,0.794906847361921
160,475,158.5,0.793000739144068
160,475,159,0.791107995125954
160,475,159.5,0.789228941516438
160,475,160,0.787363896679701
160,475,160.5,0.785513171234331
160,475,161,0.783677068155492
160,475,161.5,0.781855882879955
160,475,162,0.780049903413731
160,475,162.5,0.778259410442104
160,475,163,0.776484677441829
160,475,163.5,0.774725970795267
160,475,164,0.772983549906273
160,475,164.5,0.771257667317591
160,475,165,0.769548568829596
160,475,165.5,0.767856493620142
160,475,166,0.766181674365366
160,475,166.5,0.764524337361238
160,475,167,0.762884702645681
160,475,167.5,0.761262984121093
160,475,168,0.759659389677098
160,475,168.5,0.758074121313369
160,475,169,0.756507375262357
160,475,169.5,0.754959342111781
160,475,170,0.753430206926739
160,475,170.5,0.751920149371284
160,475,171,0.750429343829357
160,475,171.5,0.74895795952492
160,475,172,0.747506160641189
160,475,172.5,0.746074106438842
160,475,173,0.744661951373095
160,475,173.5,0.743269845209531
160,475,174,0.741897933138597
160,475,174.5,0.74054635588867
160,475,175,0.739215249837597
160,475,175.5,0.737904747122633
160,475,176,0.736614975748707
160,475,176.5,0.735346059694928
160,475,177,0.734098119019277
160,475,177.5,0.732871269961422
160,475,178,0.7316656250436
160,475,178.5,0.730481293169515
160,475,179,0.729318379721204
160,475,179.5,0.728176986653838
160,475,180,0.727057212588424
160,475,180.5,0.725959152902365
160,475,181,0.724882899817866
160,475,181.5,0.723828542488164
160,475,182,0.722796167081561
160,475,182.5,0.721785856863255
160,475,183,0.720797692274955
160,475,183.5,0.719831751012293
160,475,184,0.718888108100016
160,475,184.5,0.717966835964978
160,475,185,0.717068004506944
160,475,185.5,0.716191681167211
160,475,186,0.71533793099507
160,475,186.5,0.714506816712137
160,475,187,0.713698398774566
160,475,187.5,0.712912735433191
160,475,188,0.712149882791611
160,475,188.5,0.71140989486227
160,475,189,0.710692823620559
160,475,189.5,0.709998719056997
160,475,190,0.709327629227511
160,475,190.5,0.708679600301897
160,475,191,0.708054676610469
160,475,191.5,0.707452900688994
160,475,192,0.706874313321921
160,475,192.5,0.706318953583998
160,475,193,0.705786858880301
160,475,193.5,0.705278064984766
160,475,194,0.704792606077247
160,475,194.5,0.704330514779187
160,475,195,0.703891822187953
160,475,195.5,0.703476557909893
160,475,196,0.703084750092173
160,475,196.5,0.702716425453466
160,475,197,0.70237160931354
160,475,197.5,0.702050325621808
